Nom_Fichier,Artiste,Cluster_ID,Distance_Centroide,Score_Silhouette
aborigene_1.jpg,Aborigene,15,7.7216,-0.0158
accardi_1.jpg,Accardi,0,6.261,-0.0125
accardi_2.jpg,Accardi,14,6.2229,-0.004
af-klint_1.jpg,Af-klint,18,7.1739,-0.0437
af-klint_10.jpg,Af-klint,27,5.3109,-0.0419
af-klint_11.jpg,Af-klint,13,8.7457,0.0068
af-klint_12.jpg,Af-klint,2,7.0256,0.0099
af-klint_13.jpg,Af-klint,11,7.0859,-0.1352
af-klint_2.jpg,Af-klint,4,5.8212,0.0624
af-klint_3.jpg,Af-klint,3,9.4608,-0.0097
af-klint_4.jpg,Af-klint,23,6.9319,-0.0362
af-klint_5.jpg,Af-klint,27,6.2452,-0.0359
af-klint_6.jpg,Af-klint,4,6.2795,0.0815
af-klint_8.jpg,Af-klint,6,7.1813,0.0172
af-klint_9.jpg,Af-klint,2,6.503,-0.1221
afif_1.jpg,Afif,16,7.808,0.0019
afnan_2.jpg,Afnan,4,5.1177,0.131
afro_1.jpg,Afro,6,4.9112,0.0048
afro_2.jpg,Afro,16,6.776,-0.0151
afro_3.jpg,Afro,18,5.6073,0.0115
afro_4.jpg,Afro,18,5.3147,-0.0129
afro_5.jpg,Afro,18,6.1421,-0.0319
afro_6.jpg,Afro,17,6.9784,-0.0713
afro_7.jpg,Afro,7,5.7442,0.0034
al-azzawi_1.jpg,Al-azzawi,20,5.7802,-0.1291
albers_1.jpg,Albers,8,8.2974,-0.0317
albers_10.jpg,Albers,14,6.3229,-0.0071
albers_11.jpg,Albers,3,6.9977,0.0609
albers_12.jpg,Albers,16,9.5512,0.01
albers_13.jpg,Albers,19,7.2711,0.0141
albers_14.jpg,Albers,1,9.8952,-0.0729
albers_15.jpg,Albers,14,8.7551,-0.0416
albers_16.jpg,Albers,12,7.9482,0.1417
albers_17.jpg,Albers,14,11.0951,-0.0242
albers_2.jpg,Albers,18,8.104,0.0255
albers_3.jpg,Albers,5,12.5485,0.2008
albers_4.jpg,Albers,18,7.3666,0.029
albers_5.jpg,Albers,8,9.9612,-0.0368
albers_6.jpg,Albers,9,8.7072,-0.0187
albers_7.jpg,Albers,9,6.2502,-0.0048
albers_8.jpg,Albers,5,10.1798,0.1712
albers_9.jpg,Albers,5,9.9449,0.2015
albert-birot_1.jpg,Albert-birot,15,4.8837,-0.0097
alechinsky_1.jpg,Alechinsky,15,5.7857,0.005
alechinsky_2.jpg,Alechinsky,27,5.7591,0.0479
alechinsky_3.jpg,Alechinsky,27,4.6054,-0.0299
alechinsky_4.jpg,Alechinsky,27,5.3781,-0.0636
allard_1.jpg,Allard,15,5.7027,0.1015
andre_1.jpg,Andre,9,7.4338,0.0127
angkasapura_1.jpg,Angkasapura,15,6.7756,0.0003
angkasapura_2.jpg,Angkasapura,23,4.4806,0.0546
angkasapura_3.jpg,Angkasapura,15,5.6051,-0.0035
appel_11.jpg,Appel,3,5.0021,0.0227
appel_2.jpg,Appel,3,5.4079,0.0254
appel_3.jpg,Appel,25,5.5378,-0.0431
appel_4.jpg,Appel,27,5.0455,0.0542
appel_5.jpg,Appel,23,6.6681,0.0524
appel_6.jpg,Appel,23,5.062,-0.0402
araeen_1.jpg,Araeen,7,8.0429,-0.0127
arguelles_1.jpg,Arguelles,9,7.3591,-0.0147
arman_1.jpg,Arman,4,4.5397,0.0936
arman_2.jpg,Arman,4,4.2389,0.107
arman_3.jpg,Arman,27,5.9509,0.0476
arman_4.jpg,Arman,3,5.9052,0.035
arman_5.jpg,Arman,15,5.6597,0.0019
arman_6.jpg,Arman,27,5.0778,-0.081
arman_7.jpg,Arman,21,5.7767,0.0465
arman_98.jpg,Arman,24,5.1265,-0.0379
arman_99.jpg,Arman,3,5.9982,-0.0245
armandon_1.jpg,Armandon,21,4.9452,-0.0569
arnal_1.jpg,Arnal,24,4.294,0.0476
arp_1.jpg,Arp,23,8.124,-0.1508
arp_2.jpg,Arp,1,8.6225,-0.0473
arp_3.jpg,Arp,14,8.1347,-0.0288
arp_4.jpg,Arp,2,9.3304,-0.0346
arp_8.jpg,Arp,17,7.2734,-0.0428
art-et-language_1.jpg,Art-et-language,28,6.1335,-0.1013
asse_1.jpg,Asse,13,10.0812,-0.0332
asse_10.jpg,Asse,7,7.3549,-0.0386
asse_2.jpg,Asse,17,9.5194,0.0392
asse_3.jpg,Asse,16,7.6654,-0.0478
asse_4.jpg,Asse,17,5.2529,-0.0742
asse_5.jpg,Asse,17,7.2058,-0.0664
asse_6.jpg,Asse,2,8.8478,-0.0206
asse_7.jpg,Asse,1,8.5875,0.027
asse_8.jpg,Asse,10,9.4333,-0.0654
asse_9.jpg,Asse,18,5.9478,-0.017
atassi_1.jpg,Atassi,11,6.9389,-0.1429
atassi_2.jpg,Atassi,20,7.4815,-0.0776
atlan_1.jpg,Atlan,3,6.3737,-0.0071
atlan_2.jpg,Atlan,3,7.3748,0.0131
atlan_3.jpg,Atlan,20,7.0275,-0.0786
atlan_4.jpg,Atlan,3,5.8833,0.0036
atlan_5.jpg,Atlan,7,6.4632,-0.0478
auerbach_1.jpg,Auerbach,4,4.8075,0.0762
auerbach_2.jpg,Auerbach,4,5.7883,0.1138
ayme_1.jpg,Ayme,1,7.6343,0.0811
bacher_1.jpg,Bacher,12,5.5987,0.0304
bae_1.jpg,Bae,21,5.4772,0.0578
bak_1.jpg,Bak,14,9.0099,0.0963
balas_1.jpg,Balas,21,5.4823,-0.0345
balla_1.jpg,Balla,21,5.7493,-0.1028
balla_2.jpg,Balla,25,6.7951,-0.1368
balla_3.jpg,Balla,19,7.629,0.0796
barre_1.jpg,Barre,13,9.4045,-0.0017
barre_2.jpg,Barre,17,10.5074,0.0427
barre_3.jpg,Barre,17,7.9114,-0.0169
barre_4.jpg,Barre,17,8.2071,0.0074
barre_5.jpg,Barre,29,7.5928,-0.0478
bart_1.jpg,Bart,17,8.6012,0.0616
barthes_1.jpg,Barthes,0,5.642,-0.0669
barthes_2.jpg,Barthes,0,6.3706,-0.0918
baruch_1.jpg,Baruch,13,8.1779,0.0161
baruch_2.jpg,Baruch,13,8.699,0.0413
